Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Wek 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Kevin Norwood,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Romeo Okwara,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,Giants,2017
Paul Perkins,,,,,O,O,O,,,,,,,,,,,,,Giants,2017
Jason Pierre-Paul,,,,,Q,,,,,,,,Q,,Q,Q,28,LDE,1250000,Giants,2017
Darius Powe,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,,,,Giants,2017
Justin Pugh,,,,,,,,O,,IR,IR,IR,IR,IR,IR,IR,27,RT,8821000,Giants,2017
Weston Richburg,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Keenan Robinson,O,O,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Travis Rudolph,,,,,,,,,,,,,Q,Q,,,,,,Giants,2017
Evan Schwan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Sterling Shepard,,,,,,O,Q,,,,Q,,Q,,,O,24,WR,720208,Giants,2017
Kelvin Sheppard,,,,,,,,,,D,Q,,,,,,29,rlb,423529,Giants,2017
Deontae Skinner,,,,,,,,,,,,IR,IR,IR,IR,IR,,,,Giants,2017
J.T. Thomas,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Mykkele Thompson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Andrew Turzilli,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Olivier Vernon,,,,Q,Q,O,O,O,Q,,Q,,,,,,27,RDE,11750000,Giants,2017
Chad Wheeler,,,,,,,,,,,,,Q,,,,,,,Giants,2017
Ishaq Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Kerry Wynn,,,,,,,,O,Q,,,,,,,,,,,Giants,2017
