Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Andrew Billings,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2020.0
Joel Bitonio,,,,Q,,,,,,,,,,29.0,OT,8500000.0,Browns,2020.0
Nick Chubb,,,,,IR,IR,IR,IR,,,,,,25.0,RB,1151190.0,Browns,2020.0
Adrian Clayborn,,,Q,O,Q,,,,,,,,,32.0,DL,1750000.0,Browns,2020.0
Jack Conklin,,Q,,,,,,,,C19,,,,26.0,OT,5000000.0,Browns,2020.0
Tae Davis,,,,O,O,,,,,,,,,24.0,LB,750000.0,Browns,2020.0
Grant Delpit,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2020.0
Drake Dorbeck,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2020.0
Drew Forbes,,,,,,,IR,,,,IR,IR,IR,,,,Browns,2020.0
Myles Garrett,,,,,,,,,,C19,C19,,,25.0,DE,862126.0,Browns,2020.0
Colby Gossett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2020.0
Nick Harris,,,,Q,,,,,,,Q,,,22.0,OL,610000.0,Browns,2020.0
Ronnie Harrison,,,,,,O,,,,,IR,IR,IR,,,,Browns,2020.0
KhaDarel Hodge,,,,,IR,IR,IR,IR,,,,,,25.0,WR,697059.0,Browns,2020.0
Austin Hooper,,,,,,,O,O,,,,,,26.0,TE,1500000.0,Browns,2020.0
Chris Hubbard,O,Q,,,,,,,C19,C19,C19,,,29.0,G,2150000.0,Browns,2020.0
Joe Jackson,,,,,,,,,,,C19,C19,,24.0,EDGE,675000.0,Browns,2020.0
Kevin Johnson,O,O,,,,,,,,,,,,28.0,CB,1500000.0,Browns,2020.0
Karl Joseph,,,,,Q,O,Q,,,,,,,27.0,SS,1500000.0,Browns,2020.0
Jojo Natson,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2020.0
David Njoku,,IR,,,,,,,,,,,,24.0,TE,1763877.0,Browns,2020.0
George Obinna,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2020.0
Larry Ogunjobi,,,,,O,Q,,,,,,,,26.0,DT,2133000.0,Browns,2020.0
Jacob Phillips,,O,O,Q,,O,O,O,Q,,,,,21.0,LB,610000.0,Browns,2020.0
Malcolm Pridgeon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2020.0
Sheldrick Redwine,,,,,,,,,,,O,,,24.0,S,675000.0,Browns,2020.0
Sheldon Richardson,,,,,,,Q,,,,,,,30.0,DT,11900000.0,Browns,2020.0
Andrew Sendejo,,,,,,,,,,,Q,,,33.0,DB,1050000.0,Browns,2020.0
Alex Taylor,IR,IR,,,,,,,,,,,,,,,Browns,2020.0
Taywan Taylor,,,,,,,,,,,,,IR,,,,Browns,2020.0
Wyatt Teller,,,,,,O,O,O,,Q,Q,,C19,26.0,OG,750000.0,Browns,2020.0
J.C. Tretter,Q,Q,,,,,,,,,,,,29.0,OG,4000000.0,Browns,2020.0
Olivier Vernon,,Q,O,Q,,Q,,,,,,,,30.0,DE,6750000.0,Browns,2020.0
Denzel Ward,,,Q,Q,,,,,,,O,,,23.0,CB,750000.0,Browns,2020.0
Curtis Weaver,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2020.0
Greedy Williams,O,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2020.0
Jedrick Wills Jr.,,Q,,,,,,,,,,,,21.0,OL,,Browns,2020.0
Mack Wilson,O,O,Q,,,,,,,Q,,,,22.0,LB,675000.0,Browns,2020.0
Trevon Young,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2020.0
Antony Auclair,,O,IR,IR,IR,IR,IR,IR,,,,,,27.0,TE,825000.0,Buccaneers,2020.0
Jack Cichy,,,,,IR,IR,IR,IR,,,,,,,,,Buccaneers,2020.0
Carlton Davis,,,,,,Q,,,,Q,,,,24.0,CB,879374.0,Buccaneers,2020.0
Khalil Davis,,,,,,Q,,,,,,,,24.0,DL,610000.0,Buccaneers,2020.0
Jamel Dean,,,,,,,,,,,,O,,24.0,CB,675000.0,Buccaneers,2020.0
Justin Evans,PUP,,,,,,PUP,,,,,,,,,,Buccaneers,2020.0
Mike Evans,D,,,,Q,,,,,,,,,27.0,WR,4000000.0,Buccaneers,2020.0
Leonard Fournette,,,,O,D,Q,,,,,,,,25.0,RB,2000000.0,Buccaneers,2020.0
John Franklin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Buccaneers,2020.0
William Gholston,,,,,,,,,C19,,,,,29.0,DE,4750000.0,Buccaneers,2020.0
Chris Godwin,,D,,O,O,,,O,Q,,,,,24.0,WR,2133000.0,Buccaneers,2020.0
O.J. Howard,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Buccaneers,2020.0
Tanner Hudson,,,,,,,,,,,O,O,,26.0,TE,595588.0,Buccaneers,2020.0
John Hurst,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,Buccaneers,2020.0
T.J. Logan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,C19,IR,,,,Buccaneers,2020.0
Ali Marpet,,,,,,,,,O,Q,D,Q,,27.0,C,5125000.0,Buccaneers,2020.0
LeSean McCoy,,,,,O,,,,,,,,,32.0,RB,1050000.0,Buccaneers,2020.0
John Molchon,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,Buccaneers,2020.0
Brad Seaton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Buccaneers,2020.0
A.Q. Shipley,,,,,,,,,,,,O,IR,,,,Buccaneers,2020.0
