Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Steve Johnson,,,,,O,D,Q,,,,,,O,D,Q,Q,29.0,WR,2100000.0,Chargers,2015
Jacoby Jones,,D,O,O,Q,,,,,,,,,,,,,,,Chargers,2015
Sean Lissemore,,,,,,,,Q,,,Q,Q,D,Q,O,,28.0,NT,1250000.0,Chargers,2015
Corey Liuget,,,,,,,,,Q,Q,Q,Q,O,IR,IR,IR,25.0,RDE,7977000.0,Chargers,2015
Craig Mager,Q,P,,O,O,O,O,Q,,,,,,,,,,,,Chargers,2015
Branden Oliver,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2015
Denzel Perryman,,,,,,,,D,O,P,,,,,,,23.0,RILB,868449.0,Chargers,2015
Darius Philon,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,Chargers,2015
Patrick Robinson,,,,,,,,,Q,,,,,,,P,28.0,DB,2000000.0,Chargers,2015
Darrell Stuckey,,,,,,,,,Q,P,,,,,,,,,,Chargers,2015
Manti Te'o,,,,,,Q,D,O,O,P,P,,,,,Q,24.0,LILB,1410660.0,Chargers,2015
Johnnie Troutman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2015
Chris Watt,,,P,D,Q,O,Q,P,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2015
Eric Weddle,,,,,,,O,O,Q,,P,,,,,,30.0,FS,10100000.0,Chargers,2015
Tourek Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,IR,,IR,,,,Chargers,2015
Sam Acho,O,P,,,,,,,,,,,Q,,,,27.0,LOLB,550588.0,Bears,2015
Martellus Bennett,,,,,,Q,,,,,O,P,IR,IR,IR,IR,28.0,TE,6125000.0,Bears,2015
Jonathan Bostic,Q,O,D,,,,,,,,,,,,,,,,,Bears,2015
Jermon Bushrod,P,P,,O,O,Q,Q,Q,Q,P,,,,,,,,,,Bears,2015
Bryce Callahan,,,,,,,,Q,,,,,Q,D,Q,Q,,,,Bears,2015
Ka'Deem Carey,,,,,,,,,,,O,P,,,,,,,,Bears,2015
Jay Cutler,,,O,Q,Q,,,,,,,P,,,,,32.0,QB,16500000.0,Bears,2015
Ego Ferguson,,Q,Q,Q,,D,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2015
Matt Forte,,,P,,,,,O,Q,Q,Q,,,,,Q,30.0,RB,9200000.0,Bears,2015
Eddie Goldman,P,,,,,,,,,,,,,,,IR,21.0,NT,1033875.0,Bears,2015
Hroniss Grasu,,,,,,,Q,D,Q,P,,,,,,D,24.0,C,625479.0,Bears,2015
Alshon Jeffery,Q,Q,O,Q,Q,Q,,,Q,Q,Q,,,Q,IR,IR,25.0,WR,1447036.0,Bears,2015
